city_or_county,n_killed,n_injured
Bernardsville,0,0
Berne,1,0
Bernice,1,0
Bernville,0,0
Berrien,2,0
Berrien County,1,0
Berrien Springs,0,0
Berry,0,0
Berry Creek,0,6
Berryville,0,0
Berthold,0,0
Berthoud,1,1
Bertie,1,0
Bertie County,0,0
Bertram,0,1
Berwick,4,6
Berwyn,3,3
Bessemer,39,66
Bessemer (Brighton),6,13
Bessemer (Concord),1,0
Bessemer (Hueytown),2,8
Bessemer City,1,2
Bethalto,0,0
Bethany,4,5
Bethel,9,11
Bethel (Napaskiak),1,0
Bethel (Newtok),0,0
Bethel Heights,0,0
Bethel Island,0,1
Bethel Park,0,0
Bethesda,3,3
Bethlehem,6,25
Bethlehem (Fountain Hill),0,0
Bethlehem (Freemansburg),0,1
Bethpage,1,2
Bethune,0,0
Betsy Layne,0,0
Bettendorf,1,1
Bettendorf (Panorama Park),0,0
Beulah,0,0
Beulaville,2,0
Beverly,4,3
Beverly (Edgewater Park),0,1
Beverly Hills,3,2
Bevington,0,0
Bexar,11,6
Bexar County,2,8
Bexley,0,0
Bibb,1,0
Bibb County,1,10
Bickmore,0,1
Bicknell,2,0
Biddeford,3,2
Big Bear City,0,0
Big Bear Lake,2,0
Big Bear Lake (Big Bear),0,0
Big Beaver,0,0
Big Bend,1,1
Big Creek,1,1
Big Flats,1,0
Big Horn,0,1
Big Lake,2,2
Big Otter,0,0
Big Pine Key,3,0
Big Rapids,0,2
Big Rock,0,0
Big Sandy,1,1
Big Spring,7,7
Big Springs,1,2
Big Stone Gap,3,1
Big Sur,0,0
Bigfork,0,0
Biglerville,0,1
Billerica,1,2
Billings,20,30
Billings (Lockwood),0,1
Billingsley,0,1
Biloxi,14,27
Biloxi (Saint Martin),1,3
Bingham,0,0
Bingham (Moscow),0,0
Bingham County,1,0
Binghamton,10,19
Binghamton (Dickinson),0,0
Birch Run,1,0
Birch Tree,1,0
Birchwood,0,2
Birdseye,0,0
Birmingham,364,626
Birmingham (Center Point),7,18
Birmingham (Ensley),8,15
Birmingham (Forestdale),2,1
Birmingham (Grayson Valley),1,2
Birmingham (Homewood),6,2
Birmingham (Hoover),8,7
Birmingham (Irondale),4,4
Birmingham (Midfield),6,5
Birmingham (Mountain Brook),0,0
Birmingham (Tarrant),5,5
Birmingham (Vestavia Hills),2,2
Birnamwood,0,0
Biron,0,0
Bisbee,2,0
Biscayne Bay,1,0
Bishop,4,0
Bishopville,2,2
Bishopville (Mechanicsville),1,0
Bismarck,10,19
Bison,0,1
Bitely,1,0
Bithlo,0,0
Bivalve,0,1
Biwabik,0,0
Bixby,1,0
Black Canyon City,1,0
Black Eagle,0,0
Black Hawk,2,3
Black Mountain,3,1
Black River Falls,1,1
Black Rock,1,0
Blackfeet Indian Reservation,1,0
Blackfoot,1,1
Blackfoot (Rockford),0,0
Blacklick,0,1
Blackman,0,0
Blacksburg,3,4
Blackshear,1,0
Blackstone,2,1
Blacksville,0,0
Blackville,2,2
Blackwood,0,3
Blackwood (Turnersville),2,0
Bladen,3,4
Bladen County,1,0
Bladenboro,2,5
Bladensburg,8,11
Blades,0,0
Blain,0,1
Blaine,3,2
Blair,1,0
Blairs,2,1
Blairs Mills,0,0
Blairstown,2,0
Blairsville,3,0
Blakely,1,1
Blakeslee,0,0
Blanchard,3,5
Blanco,0,0
Blandburg,0,0
Blanket,0,0
Bleckley,1,0
Bledsoe,0,1
Bledsoe County,1,0
Blencoe,0,0
Blenheim,0,2
Blewett Pass,0,0
Bliss,0,2
Blitchton,0,0
Block Island,0,0
Bloomburg,1,0
Bloomer,1,1
Bloomfield,7,11
Bloomfield Hills,2,2
Bloomfield Hills (Bloomfield Township),1,0
Bloomfield Township,0,2
Blooming Grove,1,0
Blooming Prairie,2,0
Bloomingburg,0,0
Bloomingdale,4,3
Bloomington,18,40
Bloomsburg,0,6
Blossburg,0,1
Blossvale (Vienna),0,1
Blount,4,3
Blount County,2,0
Blountstown,1,2
Blountsville,5,5
Blountville,1,2
Bloxom,1,0
Blue Ash,0,1
Blue Creek,0,0
Blue Hill,0,0
Blue Island,3,2
Blue Lake,1,0
Blue Mountain,1,0
Blue Ridge,1,0
Blue River,2,0
Blue River (Mckenzie Bridge),0,0
Blue Springs,9,5
Bluefield,6,13
Bluefield (Bluewell),0,0
Bluefield (Brush Fork),2,1
Bluefield (Green Valley),0,1
Bluefield (Sandlick),0,1
Bluewell,1,2
Bluff City,2,1
Bluffdale,0,1
Bluffton,6,16
Bluffton (Rockford),0,0
Blum,0,1
Blunt,0,0
Bly,0,0
Blythe,0,5
Blytheville,24,55
Blythewood,2,1
Boardman,1,3
Boaz,2,3
Bob White,1,0
Boca Grande,0,0
Boca Raton,11,18
Boerne,2,1
Bogalusa,9,7
Bogart,0,3
Boggs,0,1
Bogota,0,0
Bogue Chitto,10,1
Bohannon,1,0
Bohemia,0,1
Boiling Spring Lakes,1,0
Boiling Springs,1,4
Boiling Springs (South Middleton),0,0
Boise,23,14
Bokeelia,1,1
Bokoshe,1,1
Boligee,0,1
Bolingbroke,0,0
Bolingbrook,3,5
Bolivar,8,10
Bolivia,2,6
Bollinger,0,0
Bolton,3,3
Bolton Landing,0,0
Bon Air,0,1
Bon Aqua,5,1
Bonaire,3,3
Bonanza,1,0
Bonduel,0,0
Bondurant,3,0
Bondville,0,0
Bonesteel,0,0
Bonham,0,1
Bonifay,0,1
Bonita Springs,1,4
Bonita Springs (Bonita Spgs),0,0
Bonner,0,2
Bonner Springs,1,0
Bonnerdale,0,0
Bonners Ferry,0,0
Bonneville,0,0
Bonneville County,0,0
Bonney Lake,5,3
Bonney Lake (Lake Tapps),1,0
Bonnieville,1,0
Bonny Doon,0,0
Bonnyman,0,0
Bono,1,1
Bonsall,1,0
Boone,6,4
Boone County,10,4
Booneville,3,9
Boonsboro,1,0
Boonton (Boonton Township),0,0
Boonville,1,0
Booth,1,0
Boothbay,0,1
Boothbay Harbor,6,0
Bordentown,0,0
Bordentown Township,0,1
Borger,5,5
Boring,1,0
Boron,0,1
Boscobel,1,0
Bossier,1,1
Bossier City,19,34
Bossier Parish,1,0
Bostic,0,2
Boston,176,586
Boswell,3,1
Botetourt,0,0
Botetourt County,0,0
Bothell,1,0
Bottineau,2,0
Boulder,10,9
Boulder City,1,1
Boulder County,0,1
Boulder Creek,1,0
Bound Brook,1,3
Bountiful,0,2
Bourbon,0,0
Bourbonnais,0,2
Bourg,1,0
Bourne,1,0
Boutte,0,1
Bovill,0,1
Bow,0,0
Bowdoinham,0,0
Bowersville,0,1
Bowie,12,6
Bowie (Mitchellville),0,1
Bowie County,1,2
Bowler,0,0
Bowling Green,14,37
Bowman,2,2
Bowmansville,0,1
Box Elder,3,3
Boxford,0,0
Boyce (Rapides),0,2
Boyceville,2,0
Boyd County,0,0
Boyertown,2,0
Boyle,0,0
Boyle Heights,6,4
Boyne City,0,2
Boyne Falls,0,0
Boynton Beach,38,65
Boynton Beach (Golf),0,1
Bozeman,6,3
Bozrah,0,0
Brackenridge,0,0
Braddock,5,28
Braddock (Rankin),5,3
Braddock Hills,0,0
Bradenton,55,88
Bradenton (Lakewood Ranch),1,0
Bradenton (Samoset),1,0
Bradford,2,3
Bradley,1,4
Bradley (Callison),5,0
Bradley County,1,0
Bradshaw,0,0
Brady,1,0
Bradyville,1,1
Bragg City,0,1
Braidwood,2,0
Brainerd,1,2
Braintree,2,2
Braithwaite,0,0
Braithwaite (Davant),0,0
Bramwell,0,0
Branch,1,2
Branchland,0,0
Branchport,0,0
Branchville,0,0
Brandenburg,0,0
Brandon,20,17
Brandon (Goshen),1,0
Brandon (Leicester),0,0
Brandywine,7,2
Branford,1,1
Branson,3,0
Brant Lake (Horicon),0,1
Brantley,0,2
Brantley (Mulberry),1,0
Braselton,1,1
Brashear,0,0
Brasher Falls,0,1
Brattleboro,2,1
Brattleboro (Guilford),0,0
Brattleboro (Halifax),0,0
Brawley,2,1
Braxton,0,1
Braxton County,0,1
Brazil,3,1
Brazoria,1,0
Brazoria County,0,3
Brazos,1,1
Brazos County,0,0
Brea,2,0
Breaks,1,0
Breathitt,0,1
Breathitt County,0,1
Breaux Bridge,6,10
Breaux Bridge (Henderson),0,0
Breckenridge,1,1
Breckinridge,0,1
Breezy Point,1,0
Breinigsville,0,0
Bremen,0,1
Bremerton,5,7
Bremerton (East Bremerton),2,3
Bremond (Hammond),0,1
Brenham,2,1
Brent,3,1
Brentwood,7,17
Brevard,1,3
Brevard County,1,0
Brewer,0,1
Brewerton,0,1
Brewster,3,2
Brewster (Southeast),0,0
Brewton,2,3
Brian Head,0,1
Brick,2,0
Brick (Wall Township),1,0
Bridge City,1,1
Bridgeport,58,359
Bridgeton,26,42
Bridgeton (Fairfield Twp),0,2
Bridgeton (Upper Deerfield Twp),0,2
Bridgeview,4,5
Bridgeville,6,2
Bridgewater,1,8
Bridgman,2,0
Bridgton,0,0
Bridport,0,1
Brierfield,1,0
Brighton,9,10
Brimfield,1,1
Brinkley,2,4
Brinson,1,0
Brisbane,0,2
Bristol,22,42
Bristol (Tullytown),1,0
Bristow,5,3
Broadmoor,0,1
Broadview,2,0
Broadview Heights,0,1
Broadway,0,2
Brockport,2,3
Brockton,17,105
Brocton,0,1
Brodhead,1,0
Brogue,0,0
Broken Arrow,15,10
Broken Bow,1,4
Bronson,0,0
Bronston,1,1
Bronx,227,588
Brooker,0,0
Brookfield,2,8
Brookhaven,17,17
Brookings,0,4
Brookings County,0,0
Brookland,0,0
Brooklawn,0,0
Brooklet,1,0
Brooklet (Stilson),0,1
Brookline,1,5
Brookline (Battlefield),2,0
Brooklyn,383,985
Brooklyn (Brooklyn Park),3,1
Brooklyn Center,0,3
Brooklyn Park,0,3
Brookpark (Brook Park),1,1
Brookport,0,1
Brooks,0,0
Brookshire,1,0
Brookside,0,0
Brookston,0,0
Brooksville,18,16
Brookville,4,4
Brookwood,0,1
Broomall,0,1
Broomfield,3,2
Broseley,1,0
Brosville,0,1
Broussard,3,2
Broward,1,2
Broward County,1,0
Browder,1,0
Brown,2,4
Brown County,1,1
Brown Deer,0,0
Brownfield,3,2
Browns Mills,2,1
Browns Summit,4,4
Brownsboro,1,0
Brownsburg,4,4
Brownsdale,0,0
Brownstown,0,0
Brownsville,20,47
Browntown,0,0
